20130711,60.03,59.90,59.40,59.56,60.22,60.67
20130712,59.90,59.40,59.56,60.22,60.67,60.94
20130715,59.40,59.56,60.22,60.67,60.94,61.16
20130716,59.56,60.22,60.67,60.94,61.16,61.06
20130717,60.22,60.67,60.94,61.16,61.06,61.46
20130718,60.67,60.94,61.16,61.06,61.46,61.82
20130719,60.94,61.16,61.06,61.46,61.82,61.31
20130722,61.16,61.06,61.46,61.82,61.31,61.09
20130723,61.06,61.46,61.82,61.31,61.09,60.40
20130724,61.46,61.82,61.31,61.09,60.40,62.85
20130725,61.82,61.31,61.09,60.40,62.85,62.66
20130726,61.31,61.09,60.40,62.85,62.66,62.53
20130729,61.09,60.40,62.85,62.66,62.53,63.58
20130730,60.40,62.85,62.66,62.53,63.58,64.74
20130731,62.85,62.66,62.53,63.58,64.74,64.77
20130801,62.66,62.53,63.58,64.74,64.77,65.00
20130802,62.53,63.58,64.74,64.77,65.00,65.68
20130805,63.58,64.74,64.77,65.00,65.68,66.63
20130806,64.74,64.77,65.00,65.68,66.63,66.72
20130807,64.77,65.00,65.68,66.63,66.72,66.34
20130808,65.00,65.68,66.63,66.72,66.34,65.86
20130809,65.68,66.63,66.72,66.34,65.86,65.29
20130812,66.63,66.72,66.34,65.86,65.29,66.09
20130813,66.72,66.34,65.86,65.29,66.09,68.76
20130814,66.34,65.86,65.29,66.09,68.76,71.26
20130815,65.86,65.29,66.09,68.76,71.26,70.82
20130816,65.29,66.09,68.76,71.26,70.82,71.56
20130819,66.09,68.76,71.26,70.82,71.56,72.70
20130820,68.76,71.26,70.82,71.56,72.70,72.24
20130821,71.26,70.82,71.56,72.70,72.24,72.02
20130822,70.82,71.56,72.70,72.24,72.02,71.70
20130823,71.56,72.70,72.24,72.02,71.70,71.62
20130826,72.70,72.24,72.02,71.70,71.62,72.19
20130827,72.24,72.02,71.70,71.62,72.19,70.63
20130828,72.02,71.70,71.62,72.19,70.63,70.13
20130829,71.70,71.62,72.19,70.63,70.13,70.54
20130830,71.62,72.19,70.63,70.13,70.54,69.96
20130903,72.19,70.63,70.13,70.54,69.96,70.57
20130904,70.63,70.13,70.54,69.96,70.57,71.32
20130905,70.13,70.54,69.96,70.57,71.32,71.02
20130906,70.54,69.96,70.57,71.32,71.02,70.67
20130909,69.96,70.57,71.32,71.02,70.67,72.24
20130910,70.57,71.32,71.02,70.67,72.24,71.21
20130911,71.32,71.02,70.67,72.24,71.21,67.04
20130912,71.02,70.67,72.24,71.21,67.04,67.24
20130913,70.67,72.24,71.21,67.04,67.24,66.89
20130916,72.24,71.21,67.04,67.24,66.89,64.92
20130917,71.21,67.04,67.24,66.89,64.92,64.80
20130918,67.04,67.24,66.89,64.92,64.80,66.21
20130919,67.24,66.89,64.92,64.80,66.21,67.51
20130920,66.89,64.92,64.80,66.21,67.51,67.47
20130923,64.92,64.80,66.21,67.51,67.47,69.96
20130924,64.80,66.21,67.51,67.47,69.96,70.23
